name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tampa bay,2022-07-25,91.9,80.3,84.2,99.5,84.3,90.4,73,69.8,0.041,100,12.5,rain,0,0,17.2,9.4,77.6,1018.9,55.2,9.8,163.9,13.8,7,75,2022-07-25T06:48:42,2022-07-25T20:23:49,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-26,93.1,76.4,82.1,103.3,76.4,86.6,73.7,76.5,1.13,100,25,rain,0,0,59.7,12.5,108.1,1019.5,51.5,9.5,119.5,10.3,7,75,2022-07-26T06:49:14,2022-07-26T20:23:17,0.93,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-27,91.6,76.4,83.4,104.4,76.4,88.9,73.9,74.2,0,0,0,rain,0,0,19.7,12.8,163,1019.3,39.7,9.9,200.7,17.2,9,75,2022-07-27T06:49:47,2022-07-27T20:22:42,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-28,93.3,80.3,86.4,104.5,85.5,94.9,74.6,68.8,0,0,0,rain,0,0,11,9.2,211,1019,24,9.9,229.3,19.5,10,100,2022-07-28T06:50:19,2022-07-28T20:22:07,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-29,96.4,81.1,88.1,104.7,86.5,95.6,72.9,62.8,0,0,0,rain,0,0,15.7,9.9,142.6,1019.3,32.4,9.9,230.7,19.5,10,100,2022-07-29T06:50:52,2022-07-29T20:21:30,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-30,95.6,80.9,88,101.9,85.9,94.3,71.9,60.6,0,0,0,,0,0,18.6,8.5,122.8,1020.6,55.8,9.8,141.8,11.7,7,75,2022-07-30T06:51:25,2022-07-30T20:20:52,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-31,95.7,80.1,87.7,103.7,84.6,94.8,72.8,62.7,0,0,0,rain,0,0,18.8,9.9,133.3,1021.5,51.3,9.9,214.2,18.2,9,100,2022-07-31T06:51:57,2022-07-31T20:20:13,0.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-08-01,93.2,82.3,87.6,101.5,89.2,95.8,73.8,64.6,0,0,0,,0,0,21.9,9.9,224.1,1020.9,28.1,9.9,249.5,21.1,10,100,2022-08-01T06:52:30,2022-08-01T20:19:33,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-08-02,93.9,82.2,87.1,105.3,88.4,96.4,75,68,0,0,0,rain,0,0,24.2,13.7,285.5,1018.6,63.2,9.9,181.8,15.3,9,100,2022-08-02T06:53:03,2022-08-02T20:18:52,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-08-03,90.8,77.5,83.8,101,77.5,89.2,73.6,72.3,0.636,100,12.5,rain,0,0,17.2,13.2,271,1017.1,63.7,9.6,189,16.1,8,100,2022-08-03T06:53:35,2022-08-03T20:18:09,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-08-04,92.7,77.7,83.5,100.3,77.7,87.1,72.8,71.9,1.191,100,8.33,rain,0,0,41.4,10.1,120.3,1017.6,42.8,9.9,234.8,20.1,10,100,2022-08-04T06:54:08,2022-08-04T20:17:25,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-08-05,94.2,77.2,84.2,102.2,77.2,89.3,73.7,72.3,0.243,100,8.33,rain,0,0,17.2,9.4,94.5,1018.8,49.8,9.9,205.9,17.3,8,75,2022-08-05T06:54:40,2022-08-05T20:16:40,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-06,94,79.6,85.1,102.3,79.6,91.9,74,70.4,0.021,100,4.17,rain,0,0,19.7,8,86.4,1020.1,42.5,9.8,173.4,14.7,7,100,2022-08-06T06:55:13,2022-08-06T20:15:54,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa bay,2022-08-07,94.7,78.5,84.5,102.9,78.5,89.1,73.2,70.5,0.147,100,12.5,rain,0,0,37,13,80.4,1020.2,35.7,9.7,241.8,20.6,10,75,2022-08-07T06:55:45,2022-08-07T20:15:07,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
