,play_sequence_num,game_id,home_team,away_team,yardline_100,game_date,game_seconds_remaining,down,ydstogo,play_type,no_huddle,shotgun,pass_length,pass_location,run_location,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,roof,surface,offense_formation,offense_personnel,defenders_in_box,defense_personnel,weather
98832,47,2018_01_SF_MIN,MIN,SF,86.0,2018-09-09,823.0,1.0,10.0,run,0.0,0.0,,,left,2.0,3.0,-11.0,dome,sportturf,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98833,48,2018_01_SF_MIN,MIN,SF,86.0,2018-09-09,782.0,2.0,10.0,pass,0.0,1.0,short,right,,2.0,3.0,-11.0,dome,sportturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98834,49,2018_01_SF_MIN,MIN,SF,79.0,2018-09-09,742.0,3.0,3.0,pass,0.0,1.0,short,left,,2.0,3.0,-11.0,dome,sportturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98835,50,2018_01_SF_MIN,MIN,SF,40.0,2018-09-09,704.0,1.0,10.0,run,0.0,1.0,,,left,2.0,3.0,-11.0,dome,sportturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98836,51,2018_01_SF_MIN,MIN,SF,45.0,2018-09-09,666.0,2.0,15.0,pass,0.0,1.0,deep,left,,2.0,3.0,-11.0,dome,sportturf,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98838,52,2018_01_SF_MIN,MIN,SF,30.0,2018-09-09,655.0,1.0,10.0,run,0.0,0.0,,,left,2.0,3.0,-11.0,dome,sportturf,SINGLEBACK,"2 RB, 0 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98839,53,2018_01_SF_MIN,MIN,SF,20.0,2018-09-09,615.0,1.0,10.0,pass,0.0,1.0,short,left,,2.0,3.0,-11.0,dome,sportturf,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98840,54,2018_01_SF_MIN,MIN,SF,10.0,2018-09-09,578.0,1.0,10.0,run,0.0,0.0,,,left,2.0,3.0,-11.0,dome,sportturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98841,55,2018_01_SF_MIN,MIN,SF,9.0,2018-09-09,536.0,2.0,9.0,pass,0.0,1.0,short,middle,,2.0,3.0,-11.0,dome,sportturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98842,56,2018_01_SF_MIN,MIN,SF,4.0,2018-09-09,497.0,3.0,4.0,pass,0.0,1.0,short,middle,,2.0,3.0,-11.0,dome,sportturf,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98849,57,2018_01_SF_MIN,MIN,SF,55.0,2018-09-09,429.0,1.0,10.0,pass,0.0,1.0,short,left,,2.0,3.0,-8.0,dome,sportturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98850,58,2018_01_SF_MIN,MIN,SF,50.0,2018-09-09,396.0,2.0,5.0,pass,0.0,1.0,short,right,,2.0,3.0,-8.0,dome,sportturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
